PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,PriceperSQFT,HOA
Single Family Residential,1723 Beach Dr NE,Tacoma,WA,98422,225000,0,,Dash Point,1512,4000,1922,4,149,0
Single Family Residential,11601 11603 Yakima Ave S,Parkland,WA,98444,459900,4,2,Parkland,1440,7500,1955,4,319,0
Single Family Residential,2143 S Alaska St,Tacoma,WA,98405,389950,2,1,Hilltop,950,6500,1920,4,410,0
Single Family Residential,1701 S 23rd St,Tacoma,WA,98405,475000,3,2,Hilltop,1325,4571,1997,4,358,0
Single Family Residential,3308 E K St,Tacoma,WA,98404,350000,2,1.5,Tacoma,2264,5000,1926,4,155,0
Single Family Residential,1502 S 45th St,Tacoma,WA,98418,398000,2,1,Tacoma,1710,8600,1947,5,233,0
Single Family Residential,3334 N Defiance St,Tacoma,WA,98407,674950,4,3,Westgate,2400,7400,1970,6,281,0
Single Family Residential,4905 S Fife St,Tacoma,WA,98409,367900,3,1,Tacoma,1236,6000,1946,6,298,0
Single Family Residential,15408 40th Ave E,Tacoma,WA,98446,475000,4,2,Tacoma,1631,16579,1997,6,291,0
Townhouse,2104 Court G,Tacoma,WA,98405,409000,2,2.5,Hilltop,1482,901,2008,11,276,0
Single Family Residential,4316 A St,Tacoma,WA,98418,399950,2,1,Tacoma,860,5850,1924,11,465,0
Single Family Residential,4918 N 31st Street Dr,Tacoma,WA,98407,399900,2,1,Tacoma,756,6000,1925,25,529,0
Single Family Residential,3114 N 26th St,Tacoma,WA,98407,585000,3,1,North Tacoma,2116,6000,1922,25,276,0
Single Family Residential,4836 S 18th St,Tacoma,WA,98405,525000,3,2,Tacoma,1920,15042,1960,36,273,0
Single Family Residential,5805 51st Avenue Ct E,Tacoma,WA,98443,889900,4,3.5,Tacoma,3636,73896,2004,54,245,1
Single Family Residential,3815 E J St,Tacoma,WA,98404,415750,3,2,Tacoma,1165,6700,1921,60,357,0
Condo/Co-op,404 N D St Unit E-10,Tacoma,WA,98403,849995,2,2,Stadium District,1421,715,1971,1,598,1
Mobile/Manufactured Home,1803 138th St E #130,Tacoma,WA,98445,195000,2,2,Brookdale,1232,,1992,1,158,0
Single Family Residential,4821 S 66th St,Tacoma,WA,98409,365000,2,1,Manitou,1061,5100,1929,1,344,0
Single Family Residential,5413 S J St,Tacoma,WA,98408,410000,3,1.5,Tacoma,1356,4625,1911,1,302,0
Multi-Family (2-4 Unit),1211 S 12th St #32,Tacoma,WA,98405,569000,3,3,Central Tacoma,2446,3960,1955,1,233,0
Single Family Residential,1020 S 56th St,Tacoma,WA,98408,379950,3,1,South Tacoma,1350,6240,1940,1,281,0
Single Family Residential,5208 Hyada Blvd NE,Tacoma,WA,98422,299950,3,1,Browns Point,906,6600,1920,1,331,0
Single Family Residential,4915 N Whitman St,Tacoma,WA,98407,550000,3,2,North Tacoma,1422,9000,1985,1,387,0
